Company,Position
Ualá,Data Science & Research Leader
Mercado Libre,Representante del servicio de atención al cliente
PLAPIQUI-UNS-CONICET,Doctorado en Ingenieria Química
Oracle,Junior Business Consultant
Oracle,NetSuite Functional Consultant Jr - LAD
Oracle,Analista funcional de  Netsuite - Oracle
Nielsen,Sr. Econometric Modelling Analyst
Oracle,NetSuite Technical Consultant
Oracle,NetSuite Consultant
Ministerio de Producción y Trabajo de la Nación,Analista de datos
Evosys,Oracle Apps Functional Consultant
Ministerio de Educación de la Nación,Asesor
Oracle,Consultor Funcional ERP Netsuite
Oracle,Netsuite Consultant
Gobierno de la Ciudad de Buenos Aires,Coordinación de Seguimiento de Proyectos Urbanos - DGPLUR - SECDU - JdGMGC - GCABA
Oracle,Autonomous Database Sales Representative - Enterprise Accounts 
Oracle,Facilities Manager
Oracle,NetSuite Functional Consultant  - LAD
Oracle,Consulting Delivery Director
Cedu Computacion S.H. - Estudio Contable C. VAIO,Puestos de recursos humanos
Oracle,EPM Senior Consultant
Freelance / Advisor,Lead Data Scientist
Universidad Complutense de Madrid,Catedrático de Sociología 
YPF SA,operador de campo
Gobierno de la Ciudad de Buenos Aires,Asesor
ARBA,Tecnico impositivo
YPF SA,Gestión en control de producción
https://comprafacilempresa.wordpress.com,Especialista en ventas y marketing
MAPFRE,Administración y Finanzas en MAPFRE RE
Oracle,Consultor funcional financiero de Oracle
Oracle,Programador sénior
Oracle,Business Transformation Sales Account Manager
RStudio, Inc.,Chief Scientist
Energía Renovable,Profesor de Posgrado
KLIMBER Digital Insurance,Chief Data Officer
Asociación Sindical de Trabajadores Escalafonados de la Municipalidad de Godoy Cruz,Secretario Administrativo y Protesorero
Oracle,Senior Implementation Consultant
BBVA Provincial,Especialista de Riesgo  de Mercado y Estructural
Secretaría de Cultura y Educación de la Provincia de Buenos Aires,Asesora del Consejo Provincial de Educación y Trabajo (COPRET)
Federación Patronal Seguros S.A.,Departamento Impuestos
Oracle,CX Cloud Consultant
Mercadolibre.com,Data Science Expert
Ministerio de Producción de la Nación,Formadora en Academia Argentina Emprende
GRUPO LOYALTY,Asesor financiero
Galeno Capital,Analista Jr. de Inversiones
ASESOR IMPOSITIVO Y FINANCIERO ,Contador público certificado
C.I.B.A ,Cámara Inmobiliaria de la Provincia de Buenos Aires
Dirección Provincial de Redeterminación de Precios,Analista técnico
Cisco,Financial Business Analyst
Secretaría de Equidad y Promoción del Empleo. Gobierno de la Provincia de Córdoba,Becario
Energía del Galera,Gerente de desarrollo de negocio
Infinity Hospitality Sourcing,VP Director Of Business Development, Manufacturing Sourcing & Consultation
IMP Assist,Asistente contable
IT Convergence,Recruitment & Sales Manager
INDEC Argentina,Data Analyst
Gobierno de la Ciudad de Buenos Aires,Analista de Presupuesto Secretaria de Integración Social y Urbana
PsicoAQ,Socio Fundador 
