Company,Position
Ministerio de Interior,Secretaria de Provincias - Ministerio de Interior
CIPPEC,Asistente de investigación
BCRA,Jefe de Investigaciones Economicas
Asesores Sancor Seguros,Contabilidad y Finanzas
Canal doce Misiones,Manejo de Redes Sociales 
Universidad Nacional de Moreno (UNM),Profesor
Openbank,Finance & Business Strategy
Ministerio de Economía de la Nación Argentina,Subsecretario de Coordinación Tributaria Federal
Banco Central de la República Argentina,Analista Principal de Investigaciones Económicas
The World Bank,Research Analyst
Dirección Provincial de Estadística, Ministerio de Hacienda y Finanzas - PBA.,Economista
Martín Tetaz,Speaker Internacional
International Monetary Fund,Research Analyst
Universidad de San Andrés,Profesor Plenario, Director del Departamento de Economía
Banco de la Provincia de Buenos Aires,Analista Económico Financiero
Universidad Nacional de La Plata,Ayudante Diplomado en Economía y Regulación de los Servicios Públicos
Mills Capital Group,Economista
Banco Macro,Lider de Equipos Estimación de Perdidas Crediticias
FEMEBA ,Asesor Económico
Universidad Nacional de La Plata,Becario de investigación
KPMG Argentina,Consultor de precios de transferencia Jr
Ministerio de Hacienda de la República Argentina,Directora de Análisis de Endeudamiento Provincial y Finanzas Municipales
Ministerio de Economía de la República Argentina,Subsecretario de Programación Macroeconómica
MINISTERIO DE INFRAESTRUCTURA VIVIENDA Y SERVICIOS PUBLICOS,Asesor Técnico - Redeterminación de Precios de Contratos de Obra Pública
Deener - Accesorios para baño,Gerente general
FCE - Facultad de Ciencias Económicas | UNLP,Centro de Graduados
Accenture,Finance Analyst
