"","Company","Position"
"126","Oracle","Facilities Manager"
"127","Oracle","NetSuite Functional Consultant  - LAD"
"128","Oracle","Consulting Delivery Director"
"129","Cedu Computacion S.H. - Estudio Contable C. VAIO","Puestos de recursos humanos"
"130","Oracle","EPM Senior Consultant"
"131","Freelance / Advisor","Lead Data Scientist"
"132","Universidad Complutense de Madrid","Catedrático de Sociología "
"133","YPF SA","operador de campo"
"134","Gobierno de la Ciudad de Buenos Aires","Asesor"
"135","ARBA","Tecnico impositivo"
"136","YPF SA","Gestión en control de producción"
"137","https://comprafacilempresa.wordpress.com","Especialista en ventas y marketing"
"138","MAPFRE","Administración y Finanzas en MAPFRE RE"
"139","Oracle","Consultor funcional financiero de Oracle"
"140","Oracle","Programador sénior"
"141","Oracle","Business Transformation Sales Account Manager"
"142","RStudio, Inc.","Chief Scientist"
"143","Energía Renovable","Profesor de Posgrado"
"144","KLIMBER Digital Insurance","Chief Data Officer"
"145","Asociación Sindical de Trabajadores Escalafonados de la Municipalidad de Godoy Cruz","Secretario Administrativo y Protesorero"
"146","Oracle","Senior Implementation Consultant"
"147","BBVA Provincial","Especialista de Riesgo  de Mercado y Estructural"
"148","Secretaría de Cultura y Educación de la Provincia de Buenos Aires","Asesora del Consejo Provincial de Educación y Trabajo (COPRET)"
"149","Federación Patronal Seguros S.A.","Departamento Impuestos"
"150","Oracle","CX Cloud Consultant"
"151","Mercadolibre.com","Data Science Expert"
"152","Ministerio de Producción de la Nación","Formadora en Academia Argentina Emprende"
"153","GRUPO LOYALTY","Asesor financiero"
"154","Galeno Capital","Analista Jr. de Inversiones"
"155","ASESOR IMPOSITIVO Y FINANCIERO ","Contador público certificado"
"156","C.I.B.A ","Cámara Inmobiliaria de la Provincia de Buenos Aires"
"157","Dirección Provincial de Redeterminación de Precios","Analista técnico"
"158","Cisco","Financial Business Analyst"
"159","",""
"160","Secretaría de Equidad y Promoción del Empleo. Gobierno de la Provincia de Córdoba","Becario"
"161","Energía del Galera","Gerente de desarrollo de negocio"
"162","Infinity Hospitality Sourcing","VP Director Of Business Development, Manufacturing Sourcing & Consultation"
"163","IMP Assist","Asistente contable"
"164","IT Convergence","Recruitment & Sales Manager"
