"","Company","Position"
"510","particular","Coordinador de acomodadores"
"511","Empresa Sandin","Chofer"
"512","ERGO Group AG","Motor Underwriting Specialist"
"513","Ministerio de Produccion - Secretaria de emprendedores y de la Pyme. ","Evaluador Tecnico"
"514","",""
"515","Fundación InnovaT","Controller Financiero y Administrativo de Proyectos de Investigacion."
"516","ESCUELAS DE EDUCACIÓN SECUNDARIA GENERAL DEL SECTOR PÚBLICO","Profesor"
"517","Economía Femini(s)ta","Economía Feminista"
"518","AFIP","Asesor Mayor"
"519","K - TIC Software de optimización integral","Director"
"520","MINISTERIO DE INFRAESTRUCTURA VIVIENDA Y SERVICIOS PUBLICOS","Empleado gubernamental"
"521","UNLP-Universidad Nacional de La Plata","Community Manager"
"522","",""
"523","YPF SA","Soporte Técnico Presencial"
"524","Fundación de Investigaciones Económicas Latinoamericanas","Institucional"
"525","Accenture","Client Financial Management Analyst"
"526","JPMorgan Chase & Co.","Operations Risk & Controls - MIS | CIB Operations"
"527","Hospital Italiano de Buenos Aires","Analista"
"528","Aon","Directora Adjunta Business Intelligence "
"529","ETL Capital","Chief Investment Officer"
"530","University of California, Berkeley","PhD in Economics Student"
"531","Grupo Randazzo","Auxiliar administrativo"
"532","Oracle","ERP Staff Consultant"
"533","Ministerio de Jefatura de Gabinete de Ministros","Analista de base de datos y elaborador de informes de gestión - Seguimiento de proyectos"
"534","Evaluadora Latinoamericana S.A.","Co-Chief Executive Officer"
"535","BBVA en Argentina","Analista de riesgos financieros"
"536","",""
"537","",""
"538","Accenture","Client Financial Management Analyst"
"539","Accenture","Corporate Function Finance Associate"
"540","Accenture","Client Financial Management Analyst"
"541","CIFI - Corporación Interamericana para el Financiamiento de Infraestructura, S.A.","Financial Analyst"
"542","Instituto de Investigaciones Económicas - FCE UNLP","Becario de investigación"
"543","Ministerio de Economía de la Provincia de Bs. As.","Consultor Junior"
"544","Tesorería General de la Nación - Secretaría de Hacienda","Analista de Programación y Control de la Ejecución Financiera"
"545","LuzConsulting","Lead Project Manager"
"546","Harvard's Center for International Development ","Director of Strategic Engagement and Development"
"547","Medix ","Analista de Cuentas a Pagar"
"548","Universidad del CEMA","Profesor econometria"
"549","Secretaría de Gobierno de Energía","Director Nacional de Evaluación de Políticas y Proyectos Energéticos"
"550","CAF - banco de desarrollo de América Latina","Ejecutivo Principal"
"551","Ministerio de Interior","Secretaria de Provincias - Ministerio de Interior"
"552","CIPPEC","Asistente de investigación"
"553","BCRA","Jefe de Investigaciones Economicas"
"554","Asesores Sancor Seguros","Contabilidad y Finanzas"
"555","Canal doce Misiones","Manejo de Redes Sociales "
"556","Universidad Nacional de Moreno (UNM)","Profesor"
"557","Openbank","Finance & Business Strategy"
"558","Ministerio de Economía de la Nación Argentina","Subsecretario de Coordinación Tributaria Federal"
"559","Banco Central de la República Argentina","Analista Principal de Investigaciones Económicas"
"560","The World Bank","Research Analyst"
"561","Dirección Provincial de Estadística, Ministerio de Hacienda y Finanzas - PBA.","Economista"
"562","Martín Tetaz","Speaker Internacional"
"563","International Monetary Fund","Research Analyst"
"564","Universidad de San Andrés","Profesor Plenario, Director del Departamento de Economía"
"565","Banco de la Provincia de Buenos Aires","Analista Económico Financiero"
"566","Universidad Nacional de La Plata","Ayudante Diplomado en Economía y Regulación de los Servicios Públicos"
"567","Mills Capital Group","Economista"
"568","",""
"569","Banco Macro","Lider de Equipos Estimación de Perdidas Crediticias"
"570","FEMEBA ","Asesor Económico"
"571","Universidad Nacional de La Plata","Becario de investigación"
"572","",""
"573","KPMG Argentina","Consultor de precios de transferencia Jr"
"574","Ministerio de Hacienda de la República Argentina","Directora de Análisis de Endeudamiento Provincial y Finanzas Municipales"
"575","Ministerio de Economía de la República Argentina","Subsecretario de Programación Macroeconómica"
"576","MINISTERIO DE INFRAESTRUCTURA VIVIENDA Y SERVICIOS PUBLICOS","Asesor Técnico - Redeterminación de Precios de Contratos de Obra Pública"
"577","Deener - Accesorios para baño","Gerente general"
"578","FCE - Facultad de Ciencias Económicas | UNLP","Centro de Graduados"
"579","Accenture","Finance Analyst"
